Column name;Data type;Unit;Description;Created where?;used in raw data PCA?;used in all data PCA?;Which aspect does this cover?;TODO
file_and_analysis_timestamp;string;;Filename appended with YYYY_MM_DD_HH_MM;;;;;float instead of date
Base_Peak_Intensity_Max;float;;The maximum base peak (highest peak in spectrum) across all MS1 and MS2 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;;;;
Base_Peak_Up_To_105;float;;The maximum base peak (highest peak in spectrum) across all MS1 and MS2 spectra up to 105 minutes;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;;;;
FIXED_MPCSPIKEX_Pep_XXX_RT_XXX;float;;Sum of all peaks measured inside the expected spike-in window (10 ppm m/z-tolerance and +/- 3 min retention time window);retrieve_spike_ins_thermorawfileparser.nf -> trfp_json_to_table.py;;;;
IDENT_MPCSPIKEX_Count;int;;Number of spectra identified with the respective spike-in peptide sequence;retrieve_spike_ins_thermorawfileparser.nf -> trfp_json_to_table.py;;;;
IDENT_MPCSPIKEX_DELTA_RT;float;;If identified, the difference  between the identified and expected retention time (of the last identified PSM?);retrieve_spike_ins_thermorawfileparser.nf -> trfp_json_to_table.py;;;;(of the last identified PSM?)
IDENT_MPCSPIKEX_PEP_XXX_RT_DELTA;;;As above (sum of all peaks), but only for the PSMs identified as this specific peptide sequence;retrieve_spike_ins_thermorawfileparser.nf -> trfp_json_to_table.py;;;;
MS1-TIC-Change-Q2;float;;log2(50%-quantile / 25%-quantile of the TIC-change ) ;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;measure for ESI-Stability, for details see paper Bittremieux et al. 2016;
MS1-TIC-Change-Q3;float;;log2(75%-quantile / 50%-quantile of the TIC-change );get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;measure for ESI-Stability, for details see paper Bittremieux et al. 2016;
MS1-TIC-Change-Q4;float;;log2(100%-quantile / 75%- quantile of the TIC-change );get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;measure for ESI-Stability, for details see paper Bittremieux et al. 2016;
MS1-TIC-Q2;float;;log2(50%-quantile / 25%-quantile of the actual TIC );get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;measure for ESI-Stability, for details see paper Bittremieux et al. 2016;
MS1-TIC-Q3;float;;log2(75%-quantile / 50%-quantile of the actual TIC );get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;measure for ESI-Stability, for details see paper Bittremieux et al. 2016;
MS1-TIC-Q4;float;;log2(100%-quantile / 75%-quantile of the actual TIC );get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;measure for ESI-Stability, for details see paper Bittremieux et al. 2016;
MS1_Density_Q1;int;;25%-quantile of the peak counts per spectrum over all MS1 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS1_Density_Q2;int;;50%-quantile of the peak counts per spectrum over all MS1 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS1_Density_Q3;int;;75%-quantile of the peak counts per spectrum over all MS1 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS1_Freq_Max;float;Hz;Highest frequency of MS1 spectra in Hertz (iow: the highest number of measured MS1 spectra within a 1 minute window divided by 60);get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
MS2_Density_Q1;int;;25% Quantile of the peak counts per spectrum over all MS2 spectra;get_mzml_chromatogram_and_more.nf -> extract_data_from_mzml.py;X;X;;
